event_ts,entry_ts,exit_ts,symbol,route,direction,horizon_minutes,route_priority,ten_second_imbalance,imbalance_threshold,confirmation_return,confirmation_pressure,confirmation_body_fraction,recent_flow_direction_agreement,public_state_direction,entry_price,event_minute_high,event_minute_low,outcome_origin,rank_value,gross_return
2024-12-24 03:45:00+00:00,2024-12-24 03:46:00+00:00,2024-12-24 07:46:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,SHORT,240,1,-0.9599810455153569,0.6161747919359373,-0.00046995073473565796,-0.06945633424258202,0.4966367713004162,0.25,0.0,94220.9,94310.1,94220.9,EVENT_MINUTE_FINAL_TRADE,2.739396359073823,0.0013065041832543978
2024-12-24 06:15:00+00:00,2024-12-24 06:16:00+00:00,2024-12-24 10:16:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,SHORT,240,1,-0.6549663913763482,0.6272836146334009,-0.0005730932203390493,-0.3265266076649278,0.8600953895071274,0.3333333333333333,0.0,94345.9,94408.8,94345.9,EVENT_MINUTE_FINAL_TRADE,2.444906265663387,0.0038475439844233295
2024-12-24 06:30:00+00:00,2024-12-24 06:31:00+00:00,2024-12-24 10:31:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,LONG,240,1,0.888530650744773,0.6334018763537734,9.321915399373992e-05,0.05935109787428683,0.2923588039867511,0.5833333333333334,0.0,94410.0,94420.0,94387.8,EVENT_MINUTE_FINAL_TRADE,2.4991252210738204,-0.004790806058680208
2024-12-24 11:00:00+00:00,2024-12-24 11:01:00+00:00,2024-12-24 15:01:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,LONG,240,1,0.9640356623733872,0.6391364507507423,0.0002787311138394699,0.49396784775984015,0.5325203252033627,0.5833333333333334,0.0,94023.6,94023.6,93943.5,EVENT_MINUTE_FINAL_TRADE,3.295454992985984,0.03500823197580183
2024-12-24 12:30:00+00:00,2024-12-24 12:31:00+00:00,2024-12-24 16:31:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,LONG,240,1,0.8238323023228151,0.6451322657350966,0.000336345232386126,0.6147450907875047,0.9968553459122246,0.5,0.0,94280.1,94280.1,94232.2,EVENT_MINUTE_FINAL_TRADE,3.104976676337477,0.04236949260766587
2024-12-24 13:15:00+00:00,2024-12-24 13:16:00+00:00,2024-12-24 17:16:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,SHORT,240,1,-0.7001267511313889,0.6513664046828507,-0.0005722469737550195,-0.360254414316837,0.9263698630136598,0.5,0.0,94485.5,94557.0,94481.4,EVENT_MINUTE_FINAL_TRADE,2.523589546729801,-0.04641347085002456
2024-12-24 20:45:00+00:00,2024-12-24 20:46:00+00:00,2024-12-25 00:46:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,LONG,240,1,0.6930169180310302,0.6160405207820044,0.00048311156601843486,0.3684290454792234,0.7239263803680859,0.5833333333333334,0.0,97747.2,97750.3,97647.2,EVENT_MINUTE_FINAL_TRADE,2.593766798408889,0.010686751129444172
2024-12-24 22:00:00+00:00,2024-12-24 22:01:00+00:00,2024-12-25 02:01:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,LONG,240,1,0.7426073454415514,0.6169913007610359,0.00019108118409350006,0.351882345631094,0.30031948881790993,0.6666666666666666,0.0,98406.3,98450.0,98355.1,EVENT_MINUTE_FINAL_TRADE,2.6501166027316057,-0.004316796790449384
2025-02-08 04:00:00+00:00,2025-02-08 04:01:00+00:00,2025-02-08 08:01:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,SHORT,240,1,-0.8233645965385213,0.6221678650930964,-0.0005247882215578814,-0.738941028971662,0.9201451905624634,0.5833333333333334,0.0,96559.7,96660.1,96555.4,EVENT_MINUTE_FINAL_TRADE,3.3707294537527175,0.003729299076115522
2025-02-08 14:00:00+00:00,2025-02-08 14:01:00+00:00,2025-02-08 18:01:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,SHORT,240,1,-0.7068810333744013,0.635313401152763,-0.0006800393882140376,-0.540378605776519,0.8593955321943387,0.4166666666666667,1.0,96105.5,96200.0,96105.5,EVENT_MINUTE_FINAL_TRADE,2.7895657688375275,-0.0026273210170073558
2025-02-08 14:15:00+00:00,2025-02-08 14:16:00+00:00,2025-02-08 18:16:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,SHORT,240,1,-0.7554083604503711,0.6421343582429194,-0.001362063515829015,-0.36450135889365476,0.7460136674259433,0.4166666666666667,1.0,96046.6,96206.9,96002.0,EVENT_MINUTE_FINAL_TRADE,2.765436059500599,-0.0022291262782856425
2025-02-08 15:30:00+00:00,2025-02-08 15:31:00+00:00,2025-02-08 19:31:00+00:00,BTCUSDT,QH_10S_IMMEDIATE_CONFIRMATION_4H,SHORT,240,1,-0.7955627172370765,0.6511280807194508,-0.0008570697817656958,-0.3590410911475167,0.41401916288454166,0.4166666666666667,0.0,95709.4,95876.2,95600.0,EVENT_MINUTE_FINAL_TRADE,2.7652252049773334,-0.009110912825699424
