accepted_last15,breadth,delayed_cont_120m,delayed_cont_240m,delayed_cont_480m,delayed_cont_60m,delayed_entry_price,delayed_entry_time,delayed_rev_120m,delayed_rev_240m,delayed_rev_480m,delayed_rev_60m,direct_cont_120m,direct_cont_240m,direct_cont_480m,direct_cont_60m,direct_rev_120m,direct_rev_240m,direct_rev_480m,direct_rev_60m,entry_price,entry_time,event_id,event_time,impulse_atr,impulse_breadth,jump_close,jump_direction,jump_high,jump_log_return,jump_low,jump_open,jump_return,jump_zscore,last15_aligned_return,oi_abs_baseline,oi_change_1h,oi_material,oi_mode,period_label,premium_aligned,premium_change_1h,split,state,symbol,taker_1h,taker_aligned,timeframe_min,transition15,episode_id,abs_z
True,4,,,,,30965.8,2022-06-06 02:15:59.999000+00:00,,,,,,,,,,,,,30832.4,2022-06-06 02:00:59.999000+00:00,BTCUSDT:2022-06-06T01:59:59.999000+00:00:60m,2022-06-06 01:59:59.999000+00:00,3.1551335743442808,4,30833.8,1,30944.0,0.030421961598025783,30285.3,30285.3,0.030889437945295528,9.750787123231799,0.008560092371802996,0.0025955142484050953,0.02149557201754959,True,BUILD,dev_cascade_2022_06,True,0.00037781999999999996,development,SPONSORED_BUILD_BROAD,BTCUSDT,0.19332483364825562,True,60,PERSISTENT_15,BTCUSDT:2022-06-06 01:59:59.999000+00:00,9.750787123231799
True,4,,,,,31225.0,2022-06-06 04:15:59.999000+00:00,,,,,,,,,,,,,31235.0,2022-06-06 04:00:59.999000+00:00,BTCUSDT:2022-06-06T03:59:59.999000+00:00:120m,2022-06-06 03:59:59.999000+00:00,1.0625601589250298,3,31235.0,1,31292.0,0.043349731672689205,30832.4,30832.4,0.044303056847398326,8.894216464379198,0.006126629902592384,0.003111235535751433,0.018134818003051834,True,BUILD,dev_cascade_2022_06,True,5.732999999999997e-05,development,SPONSORED_BUILD_BROAD,BTCUSDT,0.13124085163015783,True,120,MIXED_15,BTCUSDT:2022-06-06 03:59:59.999000+00:00,8.894216464379198
True,3,,,,,31335.3,2022-06-06 08:15:59.999000+00:00,,,,,,,,,,,,,31277.8,2022-06-06 08:00:59.999000+00:00,BTCUSDT:2022-06-06T07:59:59.999000+00:00:240m,2022-06-06 07:59:59.999000+00:00,0.06415380385589621,0,31277.9,1,31473.9,0.0447222486007023,31130.7,31235.0,0.04573736455153643,3.464643851039554,0.002831071895760262,0.004337513250856517,-0.0037947770453605756,False,UNWIND,dev_cascade_2022_06,False,-2.6120000000000028e-05,development,UNSPONSORED_CONFLICT,BTCUSDT,-0.029347992867765488,False,240,PERSISTENT_15,BTCUSDT:2022-06-06 07:59:59.999000+00:00,3.464643851039554
True,4,,,,,29408.5,2022-06-07 02:15:59.999000+00:00,,,,,,,,,,,,,29555.8,2022-06-07 02:00:59.999000+00:00,BTCUSDT:2022-06-07T01:59:59.999000+00:00:60m,2022-06-07 01:59:59.999000+00:00,3.952575078245478,4,29551.7,-1,30247.6,-0.05943018824805973,29351.0,30192.8,-0.05769868499929853,-10.318448275249382,0.007409571984697161,0.008567566289569228,-0.08570990926629563,True,UNWIND,dev_cascade_2022_06,True,-0.00026175,development,FORCED_UNWIND_ACCEPTED,BTCUSDT,-0.08125855205477882,True,60,PERSISTENT_15,BTCUSDT:2022-06-07 01:59:59.999000+00:00,10.318448275249382
True,0,,,,,29481.2,2022-06-07 04:15:59.999000+00:00,,,,,,,,,,,,,29547.5,2022-06-07 04:00:59.999000+00:00,BTCUSDT:2022-06-07T03:59:59.999000+00:00:120m,2022-06-07 03:59:59.999000+00:00,-0.3897998246414759,0,29547.5,-1,29649.9,-0.05957232215197279,29190.0,29555.8,-0.05783260844610538,-7.486331781020353,0.001463292645011216,0.009293744476824628,-0.02638082558725685,True,UNWIND,dev_cascade_2022_06,False,0.00012144,development,FORCED_UNWIND_ACCEPTED,BTCUSDT,-0.12319974886706357,True,120,PERSISTENT_15,BTCUSDT:2022-06-07 03:59:59.999000+00:00,7.486331781020353
False,1,,,,,29597.7,2022-06-07 08:15:59.999000+00:00,,,,,,,,,,,,,29569.1,2022-06-07 08:00:59.999000+00:00,BTCUSDT:2022-06-07T07:59:59.999000+00:00:240m,2022-06-07 07:59:59.999000+00:00,-0.21036795708495615,0,29569.0,-1,29615.8,-0.05884494482253248,29370.6,29547.5,-0.05714704794459402,-4.5312922806806775,-0.0017481214470109752,0.009505146769253514,0.008452751598294839,False,BUILD,dev_cascade_2022_06,True,-7.229999999999997e-05,development,MIXED_SPONSORSHIP,BTCUSDT,-0.027362684815173333,True,240,MIXED_15,BTCUSDT:2022-06-07 07:59:59.999000+00:00,4.5312922806806775
True,4,,,,,31262.4,2022-06-07 20:15:59.999000+00:00,,,,,,,,,,,,,31050.4,2022-06-07 20:00:59.999000+00:00,BTCUSDT:2022-06-07T19:59:59.999000+00:00:60m,2022-06-07 19:59:59.999000+00:00,2.2242417272639563,4,31050.5,1,31428.8,0.028693940677665376,30167.0,30172.2,0.029109577690721977,2.787827164528063,0.004626708727655027,0.006879005957831197,-0.005599559974932333,False,UNWIND,dev_cascade_2022_06,True,0.00058562,development,FLOW_ALIGNED_PRICE_ONLY,BTCUSDT,0.2120975550142877,True,60,PERSISTENT_15,BTCUSDT:2022-06-07 19:59:59.999000+00:00,2.787827164528063
False,4,,,,,30252.9,2022-06-08 04:15:59.999000+00:00,,,,,,,,,,,,,30006.0,2022-06-08 04:00:59.999000+00:00,BTCUSDT:2022-06-08T03:59:59.999000+00:00:60m,2022-06-08 03:59:59.999000+00:00,1.6823158795918374,4,30006.0,-1,31029.4,-0.03151184263201445,29825.0,30966.6,-0.031020518881633707,-2.6316678551022927,-0.004630420152874182,0.00856615983389375,-0.10077813824648629,True,UNWIND,dev_cascade_2022_06,True,-0.00077943,development,MIXED_SPONSORSHIP,BTCUSDT,0.027198182900176743,False,60,MIXED_15,BTCUSDT:2022-06-08 03:59:59.999000+00:00,2.6316678551022927
True,4,,,,,29634.0,2022-06-10 13:15:59.999000+00:00,,,,,,,,,,,,,29631.8,2022-06-10 13:00:59.999000+00:00,BTCUSDT:2022-06-10T12:59:59.999000+00:00:60m,2022-06-10 12:59:59.999000+00:00,1.5385677640684603,4,29631.7,-1,30177.4,-0.012535963969532786,29452.3,30005.4,-0.012457716085384374,-3.4948519278060486,0.0015600781723835722,0.004126894120780378,0.005300547794913513,True,BUILD,dev_cascade_2022_06,False,0.00038284000000000007,development,MIXED_SPONSORSHIP,BTCUSDT,-0.01592856732555588,True,60,MIXED_15,BTCUSDT:2022-06-10 12:59:59.999000+00:00,3.4948519278060486
False,4,,,,,28942.1,2022-06-10 17:15:59.999000+00:00,,,,,,,,,,,,,29034.0,2022-06-10 17:00:59.999000+00:00,BTCUSDT:2022-06-10T16:59:59.999000+00:00:60m,2022-06-10 16:59:59.999000+00:00,1.1984897497848188,4,29034.0,-1,29470.2,-0.013825593647885475,28805.0,29438.2,-0.013730459063393874,-3.1006135881083043,-0.0013795957784368262,0.00437716338867844,-0.016384028554881525,True,UNWIND,dev_cascade_2022_06,False,0.0009154800000000001,development,FORCED_UNWIND_REJECTED,BTCUSDT,-0.10095414205042741,True,60,PERSISTENT_15,BTCUSDT:2022-06-10 16:59:59.999000+00:00,3.1006135881083043
